SIM G1 G2 G3 G4 G5 G6 G7 G8 G9 G10
SIM11 GCF_003184985.1_cds_from_genomic.fna.gz GCF_009432415.1_cds_from_genomic.fna.gz GCF_000493535.2_cds_from_genomic.fna.gz GCF_001644725.1_cds_from_genomic.fna.gz GCF_003852315.1_cds_from_genomic.fna.gz GCF_002209725.2_cds_from_genomic.fna.gz GCF_002753375.1_cds_from_genomic.fna.gz GCF_003253815.1_cds_from_genomic.fna.gz GCF_900635905.1_cds_from_genomic.fna.gz GCF_005853645.1_cds_from_genomic.fna.gz
SIM12 GCF_900128725.1_cds_from_genomic.fna.gz GCF_003994635.1_cds_from_genomic.fna.gz GCF_900474915.1_cds_from_genomic.fna.gz GCF_900478065.1_cds_from_genomic.fna.gz GCF_003111725.1_cds_from_genomic.fna.gz GCF_003591615.1_cds_from_genomic.fna.gz GCF_002952075.1_cds_from_genomic.fna.gz GCF_002007625.1_cds_from_genomic.fna.gz GCF_001118185.2_cds_from_genomic.fna.gz GCF_009720465.1_cds_from_genomic.fna.gz
SIM13 GCF_002787935.1_cds_from_genomic.fna.gz GCF_003018455.1_cds_from_genomic.fna.gz GCF_006337425.1_cds_from_genomic.fna.gz GCF_001652665.1_cds_from_genomic.fna.gz GCF_000418325.1_cds_from_genomic.fna.gz GCF_000007285.1_cds_from_genomic.fna.gz GCF_001891105.1_cds_from_genomic.fna.gz GCF_002859405.1_cds_from_genomic.fna.gz GCF_012225685.1_cds_from_genomic.fna.gz GCF_001506425.1_cds_from_genomic.fna.gz
SIM14 GCF_002447795.1_cds_from_genomic.fna.gz GCF_003073795.1_cds_from_genomic.fna.gz GCF_000623475.1_cds_from_genomic.fna.gz GCF_006094495.1_cds_from_genomic.fna.gz GCF_008727535.1_cds_from_genomic.fna.gz GCF_006337425.1_cds_from_genomic.fna.gz GCF_002865825.1_cds_from_genomic.fna.gz GCF_000026665.1_cds_from_genomic.fna.gz GCF_002447295.1_cds_from_genomic.fna.gz GCF_002000585.1_cds_from_genomic.fna.gz
SIM15 GCF_009648715.1_cds_from_genomic.fna.gz GCF_000875715.1_cds_from_genomic.fna.gz GCF_009664205.1_cds_from_genomic.fna.gz GCF_004026165.1_cds_from_genomic.fna.gz GCF_000020365.1_cds_from_genomic.fna.gz GCF_001647815.1_cds_from_genomic.fna.gz GCF_003546665.1_cds_from_genomic.fna.gz GCF_002142715.1_cds_from_genomic.fna.gz GCF_008001235.1_cds_from_genomic.fna.gz GCF_000025365.1_cds_from_genomic.fna.gz
SIM16 GCF_002761115.1_cds_from_genomic.fna.gz GCF_009619495.1_cds_from_genomic.fna.gz GCF_008619595.1_cds_from_genomic.fna.gz GCF_004006335.1_cds_from_genomic.fna.gz GCF_005082585.1_cds_from_genomic.fna.gz GCF_002850415.1_cds_from_genomic.fna.gz GCF_008931345.1_cds_from_genomic.fna.gz GCF_000012505.1_cds_from_genomic.fna.gz GCF_008124245.1_cds_from_genomic.fna.gz GCF_002881315.1_cds_from_genomic.fna.gz
SIM17 GCF_000494915.1_cds_from_genomic.fna.gz GCF_012044775.1_cds_from_genomic.fna.gz GCF_009905135.1_cds_from_genomic.fna.gz GCF_010365405.1_cds_from_genomic.fna.gz GCF_002777175.1_cds_from_genomic.fna.gz GCF_000813205.1_cds_from_genomic.fna.gz GCF_001975555.1_cds_from_genomic.fna.gz GCF_005222305.1_cds_from_genomic.fna.gz GCF_003425545.1_cds_from_genomic.fna.gz GCF_002278055.1_cds_from_genomic.fna.gz
SIM18 GCF_002762115.1_cds_from_genomic.fna.gz GCF_008329785.1_cds_from_genomic.fna.gz GCF_000800355.1_cds_from_genomic.fna.gz GCF_002966595.1_cds_from_genomic.fna.gz GCF_004526365.1_cds_from_genomic.fna.gz GCF_001460855.1_cds_from_genomic.fna.gz GCF_011492925.1_cds_from_genomic.fna.gz GCF_000284575.1_cds_from_genomic.fna.gz GCF_900004845.1_cds_from_genomic.fna.gz GCF_009911855.1_cds_from_genomic.fna.gz
SIM19 GCF_001314285.1_cds_from_genomic.fna.gz GCF_002173675.1_cds_from_genomic.fna.gz GCF_008329865.1_cds_from_genomic.fna.gz GCF_900520345.1_cds_from_genomic.fna.gz GCF_002197145.1_cds_from_genomic.fna.gz GCF_000391485.2_cds_from_genomic.fna.gz GCF_000021465.1_cds_from_genomic.fna.gz GCF_005706035.1_cds_from_genomic.fna.gz GCF_001186465.1_cds_from_genomic.fna.gz GCF_003073515.1_cds_from_genomic.fna.gz
SIM20 GCF_900474535.1_cds_from_genomic.fna.gz GCF_900635285.1_cds_from_genomic.fna.gz GCF_012053325.1_cds_from_genomic.fna.gz GCF_000968155.1_cds_from_genomic.fna.gz GCF_003015225.1_cds_from_genomic.fna.gz GCF_007559065.1_cds_from_genomic.fna.gz GCF_000027125.1_cds_from_genomic.fna.gz GCF_003626995.1_cds_from_genomic.fna.gz GCF_000241385.1_cds_from_genomic.fna.gz GCF_009944075.1_cds_from_genomic.fna.gz
SIM21 GCF_002946715.1_cds_from_genomic.fna.gz GCF_004136375.1_cds_from_genomic.fna.gz GCF_000417085.2_cds_from_genomic.fna.gz GCF_012934575.1_cds_from_genomic.fna.gz GCF_003718095.1_cds_from_genomic.fna.gz GCF_003855175.1_cds_from_genomic.fna.gz GCF_008693365.1_cds_from_genomic.fna.gz GCF_004088155.1_cds_from_genomic.fna.gz GCF_002285655.1_cds_from_genomic.fna.gz GCF_000154585.2_cds_from_genomic.fna.gz
SIM22 GCF_005082585.1_cds_from_genomic.fna.gz GCF_009873455.1_cds_from_genomic.fna.gz GCF_000007505.1_cds_from_genomic.fna.gz GCF_901553725.1_cds_from_genomic.fna.gz GCF_003148355.1_cds_from_genomic.fna.gz GCF_002202075.1_cds_from_genomic.fna.gz GCF_000023165.1_cds_from_genomic.fna.gz GCF_001870165.1_cds_from_genomic.fna.gz GCF_001026925.1_cds_from_genomic.fna.gz GCF_900637035.1_cds_from_genomic.fna.gz
SIM23 GCF_003290205.1_cds_from_genomic.fna.gz GCF_002116775.1_cds_from_genomic.fna.gz GCF_900324265.1_cds_from_genomic.fna.gz GCF_004792575.1_cds_from_genomic.fna.gz GCF_000091345.1_cds_from_genomic.fna.gz GCF_002853805.1_cds_from_genomic.fna.gz GCF_001870265.1_cds_from_genomic.fna.gz GCF_000487515.2_cds_from_genomic.fna.gz GCF_011769885.1_cds_from_genomic.fna.gz GCF_010367305.1_cds_from_genomic.fna.gz
SIM24 GCF_008124265.1_cds_from_genomic.fna.gz GCF_002073695.2_cds_from_genomic.fna.gz GCF_003063885.1_cds_from_genomic.fna.gz GCF_000010245.2_cds_from_genomic.fna.gz GCF_003130605.1_cds_from_genomic.fna.gz GCF_900638495.1_cds_from_genomic.fna.gz GCF_002220465.1_cds_from_genomic.fna.gz GCF_900497455.1_cds_from_genomic.fna.gz GCF_008926105.1_cds_from_genomic.fna.gz GCF_003402895.1_cds_from_genomic.fna.gz
SIM25 GCF_900489515.1_cds_from_genomic.fna.gz GCF_900622505.1_cds_from_genomic.fna.gz GCF_012648205.1_cds_from_genomic.fna.gz GCF_006716625.1_cds_from_genomic.fna.gz GCF_012934905.1_cds_from_genomic.fna.gz GCF_002448175.1_cds_from_genomic.fna.gz GCF_003627855.1_cds_from_genomic.fna.gz GCF_000021085.1_cds_from_genomic.fna.gz GCF_003143915.1_cds_from_genomic.fna.gz GCF_009707285.1_cds_from_genomic.fna.gz
SIM26 GCF_900639635.1_cds_from_genomic.fna.gz GCF_000341665.1_cds_from_genomic.fna.gz GCF_900618305.1_cds_from_genomic.fna.gz GCF_001516245.2_cds_from_genomic.fna.gz GCF_011801185.1_cds_from_genomic.fna.gz GCF_001272895.1_cds_from_genomic.fna.gz GCF_000689235.1_cds_from_genomic.fna.gz GCF_003031505.1_cds_from_genomic.fna.gz GCF_002142695.1_cds_from_genomic.fna.gz GCF_007726545.1_cds_from_genomic.fna.gz
SIM27 GCF_006777045.1_cds_from_genomic.fna.gz GCF_002951595.1_cds_from_genomic.fna.gz GCF_001874485.1_cds_from_genomic.fna.gz GCF_000698245.1_cds_from_genomic.fna.gz GCF_007107525.1_cds_from_genomic.fna.gz GCF_900120275.1_cds_from_genomic.fna.gz GCF_003850565.1_cds_from_genomic.fna.gz GCF_002754055.1_cds_from_genomic.fna.gz GCF_002754835.1_cds_from_genomic.fna.gz GCF_005954625.1_cds_from_genomic.fna.gz
SIM28 GCF_010669185.1_cds_from_genomic.fna.gz GCF_002952015.1_cds_from_genomic.fna.gz GCF_001447095.1_cds_from_genomic.fna.gz GCF_009676865.1_cds_from_genomic.fna.gz GCF_003948455.2_cds_from_genomic.fna.gz GCF_001278275.1_cds_from_genomic.fna.gz GCF_002285655.1_cds_from_genomic.fna.gz GCF_002762135.3_cds_from_genomic.fna.gz GCF_001046095.2_cds_from_genomic.fna.gz GCF_009662495.1_cds_from_genomic.fna.gz
SIM29 GCF_000148895.1_cds_from_genomic.fna.gz GCF_001989475.1_cds_from_genomic.fna.gz GCF_001506785.1_cds_from_genomic.fna.gz GCF_005890035.1_cds_from_genomic.fna.gz GCF_001543995.1_cds_from_genomic.fna.gz GCF_006494875.1_cds_from_genomic.fna.gz GCF_900236345.1_cds_from_genomic.fna.gz GCF_000236685.1_cds_from_genomic.fna.gz GCF_002859465.1_cds_from_genomic.fna.gz GCF_002946375.1_cds_from_genomic.fna.gz
SIM30 GCF_000382965.1_cds_from_genomic.fna.gz GCF_000348585.1_cds_from_genomic.fna.gz GCF_005222045.1_cds_from_genomic.fna.gz GCF_003522845.1_cds_from_genomic.fna.gz GCF_001190865.1_cds_from_genomic.fna.gz GCF_001362175.2_cds_from_genomic.fna.gz GCF_000339015.1_cds_from_genomic.fna.gz GCF_012931645.1_cds_from_genomic.fna.gz GCF_002012205.1_cds_from_genomic.fna.gz GCF_000022145.1_cds_from_genomic.fna.gz
SIM31 GCF_000244875.1_cds_from_genomic.fna.gz GCF_000466075.2_cds_from_genomic.fna.gz GCF_004564195.1_cds_from_genomic.fna.gz GCF_009662395.1_cds_from_genomic.fna.gz GCF_012934535.1_cds_from_genomic.fna.gz GCF_002208705.2_cds_from_genomic.fna.gz GCF_000834275.1_cds_from_genomic.fna.gz GCF_003030125.1_cds_from_genomic.fna.gz GCF_004291255.1_cds_from_genomic.fna.gz GCF_012113655.1_cds_from_genomic.fna.gz
SIM32 GCF_003546905.1_cds_from_genomic.fna.gz GCF_012220945.1_cds_from_genomic.fna.gz GCF_003716875.1_cds_from_genomic.fna.gz GCF_000021185.1_cds_from_genomic.fna.gz GCF_003003675.1_cds_from_genomic.fna.gz GCF_000148705.1_cds_from_genomic.fna.gz GCF_000959305.1_cds_from_genomic.fna.gz GCF_003571585.1_cds_from_genomic.fna.gz GCF_008831345.1_cds_from_genomic.fna.gz GCF_001703495.1_cds_from_genomic.fna.gz
SIM33 GCF_001753405.1_cds_from_genomic.fna.gz GCF_900637245.1_cds_from_genomic.fna.gz GCF_001513615.1_cds_from_genomic.fna.gz GCF_000011285.1_cds_from_genomic.fna.gz GCF_900120255.1_cds_from_genomic.fna.gz GCF_009664595.1_cds_from_genomic.fna.gz GCF_003717975.1_cds_from_genomic.fna.gz GCF_012050905.1_cds_from_genomic.fna.gz GCF_005163865.1_cds_from_genomic.fna.gz GCF_004135915.1_cds_from_genomic.fna.gz
SIM34 GCF_002591075.1_cds_from_genomic.fna.gz GCF_002859445.1_cds_from_genomic.fna.gz GCF_000196035.1_cds_from_genomic.fna.gz GCF_009431955.1_cds_from_genomic.fna.gz GCF_005144925.1_cds_from_genomic.fna.gz GCF_001359015.2_cds_from_genomic.fna.gz GCF_000392535.3_cds_from_genomic.fna.gz GCF_005890035.1_cds_from_genomic.fna.gz GCF_001623685.1_cds_from_genomic.fna.gz GCF_000988355.1_cds_from_genomic.fna.gz
SIM35 GCF_000272735.4_cds_from_genomic.fna.gz GCF_003482365.1_cds_from_genomic.fna.gz GCF_003515505.1_cds_from_genomic.fna.gz GCF_000007465.2_cds_from_genomic.fna.gz GCF_003031285.1_cds_from_genomic.fna.gz GCF_000750255.1_cds_from_genomic.fna.gz GCF_003390475.1_cds_from_genomic.fna.gz GCF_004101625.1_cds_from_genomic.fna.gz GCF_000970325.1_cds_from_genomic.fna.gz GCF_000764615.1_cds_from_genomic.fna.gz
SIM36 GCF_002000765.1_cds_from_genomic.fna.gz GCF_001104165.2_cds_from_genomic.fna.gz GCF_004804205.1_cds_from_genomic.fna.gz GCF_003956265.1_cds_from_genomic.fna.gz GCF_000013485.1_cds_from_genomic.fna.gz GCF_003355375.1_cds_from_genomic.fna.gz GCF_003966795.1_cds_from_genomic.fna.gz GCF_002202255.1_cds_from_genomic.fna.gz GCF_009662235.1_cds_from_genomic.fna.gz GCF_009867115.1_cds_from_genomic.fna.gz
SIM37 GCF_000508265.1_cds_from_genomic.fna.gz GCF_000626175.1_cds_from_genomic.fna.gz GCF_009884395.1_cds_from_genomic.fna.gz GCF_012935025.1_cds_from_genomic.fna.gz GCF_000959405.1_cds_from_genomic.fna.gz GCF_005222625.1_cds_from_genomic.fna.gz GCF_007998125.1_cds_from_genomic.fna.gz GCF_012113655.1_cds_from_genomic.fna.gz GCF_000021485.1_cds_from_genomic.fna.gz GCF_000775955.1_cds_from_genomic.fna.gz
SIM38 GCF_001623745.2_cds_from_genomic.fna.gz GCF_002952615.1_cds_from_genomic.fna.gz GCF_003855535.1_cds_from_genomic.fna.gz GCF_001692595.1_cds_from_genomic.fna.gz GCF_003812725.1_cds_from_genomic.fna.gz GCF_002966715.1_cds_from_genomic.fna.gz GCF_000756485.1_cds_from_genomic.fna.gz GCF_003798285.1_cds_from_genomic.fna.gz GCF_003722195.1_cds_from_genomic.fna.gz GCF_008586825.1_cds_from_genomic.fna.gz
SIM39 GCF_000635895.2_cds_from_genomic.fna.gz GCF_003516005.1_cds_from_genomic.fna.gz GCF_001808235.1_cds_from_genomic.fna.gz GCF_008727595.1_cds_from_genomic.fna.gz GCF_005221565.1_cds_from_genomic.fna.gz GCF_006402415.1_cds_from_genomic.fna.gz GCF_000506785.4_cds_from_genomic.fna.gz GCF_000815085.1_cds_from_genomic.fna.gz GCF_002447475.1_cds_from_genomic.fna.gz GCF_009909385.1_cds_from_genomic.fna.gz
SIM40 GCF_009940325.1_cds_from_genomic.fna.gz GCF_900324445.1_cds_from_genomic.fna.gz GCF_005081445.1_cds_from_genomic.fna.gz GCF_012051825.1_cds_from_genomic.fna.gz GCF_001672035.1_cds_from_genomic.fna.gz GCF_012053905.1_cds_from_genomic.fna.gz GCF_001889365.1_cds_from_genomic.fna.gz GCF_003717775.1_cds_from_genomic.fna.gz GCF_000495455.2_cds_from_genomic.fna.gz GCF_001889385.1_cds_from_genomic.fna.gz
SIM41 GCF_003864015.1_cds_from_genomic.fna.gz GCF_900236425.1_cds_from_genomic.fna.gz GCF_000317955.1_cds_from_genomic.fna.gz GCF_004848685.1_cds_from_genomic.fna.gz GCF_000789275.1_cds_from_genomic.fna.gz GCF_002754055.1_cds_from_genomic.fna.gz GCF_007998065.1_cds_from_genomic.fna.gz GCF_000027125.1_cds_from_genomic.fna.gz GCF_001953015.1_cds_from_genomic.fna.gz GCF_008727415.1_cds_from_genomic.fna.gz
SIM42 GCF_003641285.1_cds_from_genomic.fna.gz GCF_000624395.2_cds_from_genomic.fna.gz GCF_900489595.1_cds_from_genomic.fna.gz GCF_011035105.1_cds_from_genomic.fna.gz GCF_002000565.1_cds_from_genomic.fna.gz GCF_000026245.1_cds_from_genomic.fna.gz GCF_001534785.1_cds_from_genomic.fna.gz GCF_003574235.1_cds_from_genomic.fna.gz GCF_900638315.1_cds_from_genomic.fna.gz GCF_000147715.2_cds_from_genomic.fna.gz
SIM43 GCF_001650275.1_cds_from_genomic.fna.gz GCF_001420935.1_cds_from_genomic.fna.gz GCF_000208385.1_cds_from_genomic.fna.gz GCF_003718295.1_cds_from_genomic.fna.gz GCF_006741505.1_cds_from_genomic.fna.gz GCF_001874445.1_cds_from_genomic.fna.gz GCF_002788115.1_cds_from_genomic.fna.gz GCF_000444405.1_cds_from_genomic.fna.gz GCF_002946135.1_cds_from_genomic.fna.gz GCF_004924295.1_cds_from_genomic.fna.gz
SIM44 GCF_002289205.1_cds_from_genomic.fna.gz GCF_002447375.1_cds_from_genomic.fna.gz GCF_004010595.1_cds_from_genomic.fna.gz GCF_003288075.1_cds_from_genomic.fna.gz GCF_003432165.1_cds_from_genomic.fna.gz GCF_001890305.1_cds_from_genomic.fna.gz GCF_002214085.1_cds_from_genomic.fna.gz GCF_002037565.1_cds_from_genomic.fna.gz GCF_003030285.1_cds_from_genomic.fna.gz GCF_002090275.1_cds_from_genomic.fna.gz
SIM45 GCF_009858115.1_cds_from_genomic.fna.gz GCF_009912495.1_cds_from_genomic.fna.gz GCF_008926185.1_cds_from_genomic.fna.gz GCF_009866745.1_cds_from_genomic.fna.gz GCF_000508765.1_cds_from_genomic.fna.gz GCF_003194245.1_cds_from_genomic.fna.gz GCF_001433415.1_cds_from_genomic.fna.gz GCF_000441675.1_cds_from_genomic.fna.gz GCF_000504045.1_cds_from_genomic.fna.gz GCF_008931185.1_cds_from_genomic.fna.gz
SIM46 GCF_000739495.1_cds_from_genomic.fna.gz GCF_003047125.1_cds_from_genomic.fna.gz GCF_002310635.1_cds_from_genomic.fna.gz GCF_000196075.1_cds_from_genomic.fna.gz GCF_004295385.1_cds_from_genomic.fna.gz GCF_000208385.1_cds_from_genomic.fna.gz GCF_003433235.1_cds_from_genomic.fna.gz GCF_001280365.1_cds_from_genomic.fna.gz GCF_002224265.1_cds_from_genomic.fna.gz GCF_002850515.1_cds_from_genomic.fna.gz
SIM47 GCF_009913835.1_cds_from_genomic.fna.gz GCF_000197875.1_cds_from_genomic.fna.gz GCF_000011845.1_cds_from_genomic.fna.gz GCF_003339545.1_cds_from_genomic.fna.gz GCF_900235905.1_cds_from_genomic.fna.gz GCF_002201955.1_cds_from_genomic.fna.gz GCF_012934905.1_cds_from_genomic.fna.gz GCF_005938665.2_cds_from_genomic.fna.gz GCF_000750375.1_cds_from_genomic.fna.gz GCF_009806735.1_cds_from_genomic.fna.gz
SIM48 GCF_002753935.1_cds_from_genomic.fna.gz GCF_003017335.1_cds_from_genomic.fna.gz GCF_000092325.1_cds_from_genomic.fna.gz GCF_004119955.1_cds_from_genomic.fna.gz GCF_007827165.1_cds_from_genomic.fna.gz GCF_002246595.2_cds_from_genomic.fna.gz GCF_900660575.1_cds_from_genomic.fna.gz GCF_009739845.1_cds_from_genomic.fna.gz GCF_008369605.1_cds_from_genomic.fna.gz GCF_000022785.1_cds_from_genomic.fna.gz
SIM49 GCF_003812065.1_cds_from_genomic.fna.gz GCF_000828775.1_cds_from_genomic.fna.gz GCF_900607275.1_cds_from_genomic.fna.gz GCF_000208385.1_cds_from_genomic.fna.gz GCF_003264295.1_cds_from_genomic.fna.gz GCF_000306865.1_cds_from_genomic.fna.gz GCF_001766275.1_cds_from_genomic.fna.gz GCF_011463755.1_cds_from_genomic.fna.gz GCF_003812305.1_cds_from_genomic.fna.gz GCF_001026965.1_cds_from_genomic.fna.gz
SIM50 GCF_002906515.1_cds_from_genomic.fna.gz GCF_000055785.1_cds_from_genomic.fna.gz GCF_002952655.1_cds_from_genomic.fna.gz GCF_000046845.1_cds_from_genomic.fna.gz GCF_001019485.2_cds_from_genomic.fna.gz GCF_003096055.1_cds_from_genomic.fna.gz GCF_001593765.1_cds_from_genomic.fna.gz GCF_004101345.1_cds_from_genomic.fna.gz GCF_003316915.1_cds_from_genomic.fna.gz GCF_008330805.1_cds_from_genomic.fna.gz
SIM51 GCF_012934535.1_cds_from_genomic.fna.gz GCF_012648345.1_cds_from_genomic.fna.gz GCF_003991175.1_cds_from_genomic.fna.gz GCF_003073435.1_cds_from_genomic.fna.gz GCF_003716765.1_cds_from_genomic.fna.gz GCF_003812565.1_cds_from_genomic.fna.gz GCF_000830825.1_cds_from_genomic.fna.gz GCF_003667385.1_cds_from_genomic.fna.gz GCF_002191355.1_cds_from_genomic.fna.gz GCF_001908715.1_cds_from_genomic.fna.gz
SIM52 GCF_001999065.1_cds_from_genomic.fna.gz GCF_900489825.1_cds_from_genomic.fna.gz GCF_002447095.1_cds_from_genomic.fna.gz GCF_001969405.1_cds_from_genomic.fna.gz GCF_009913135.1_cds_from_genomic.fna.gz GCF_003071445.1_cds_from_genomic.fna.gz GCF_000236685.1_cds_from_genomic.fna.gz GCF_003052005.2_cds_from_genomic.fna.gz GCF_000015485.1_cds_from_genomic.fna.gz GCF_005280375.1_cds_from_genomic.fna.gz
SIM53 GCF_002180275.1_cds_from_genomic.fna.gz GCF_000012445.1_cds_from_genomic.fna.gz GCF_900187115.1_cds_from_genomic.fna.gz GCF_000013365.1_cds_from_genomic.fna.gz GCF_001308065.1_cds_from_genomic.fna.gz GCF_002090235.1_cds_from_genomic.fna.gz GCF_004771175.1_cds_from_genomic.fna.gz GCF_002289045.2_cds_from_genomic.fna.gz GCF_002587165.1_cds_from_genomic.fna.gz GCF_001956815.1_cds_from_genomic.fna.gz
SIM54 GCF_003253815.1_cds_from_genomic.fna.gz GCF_000832745.1_cds_from_genomic.fna.gz GCF_001753345.1_cds_from_genomic.fna.gz GCF_004322795.1_cds_from_genomic.fna.gz GCF_009937785.1_cds_from_genomic.fna.gz GCF_009498015.1_cds_from_genomic.fna.gz GCF_002853805.1_cds_from_genomic.fna.gz GCF_000188955.2_cds_from_genomic.fna.gz GCF_005854245.1_cds_from_genomic.fna.gz GCF_006711525.1_cds_from_genomic.fna.gz
SIM55 GCF_003184325.1_cds_from_genomic.fna.gz GCF_000441715.1_cds_from_genomic.fna.gz GCF_005161605.1_cds_from_genomic.fna.gz GCF_008728315.1_cds_from_genomic.fna.gz GCF_009937785.1_cds_from_genomic.fna.gz GCF_008807655.1_cds_from_genomic.fna.gz GCF_002078915.1_cds_from_genomic.fna.gz GCF_001735705.1_cds_from_genomic.fna.gz GCF_009949145.1_cds_from_genomic.fna.gz GCF_002105735.1_cds_from_genomic.fna.gz
SIM56 GCF_003597735.1_cds_from_genomic.fna.gz GCF_006459145.1_cds_from_genomic.fna.gz GCF_001433415.1_cds_from_genomic.fna.gz GCF_003355295.1_cds_from_genomic.fna.gz GCF_003691445.1_cds_from_genomic.fna.gz GCF_003286955.1_cds_from_genomic.fna.gz GCF_000698515.2_cds_from_genomic.fna.gz GCF_001879525.1_cds_from_genomic.fna.gz GCF_002850135.1_cds_from_genomic.fna.gz GCF_009756585.1_cds_from_genomic.fna.gz
